id,hard_skills,soft_skills,competences_recommandees
679,Non spécifié,négociation leadership organisation relationnel communication,expérience en gestion déquipe commerciale en développement de portefeuille clients et en négociation sera un atout majeur compétences spécifiques sont indispensables pour réussir dans cette fonction compétences commerciales leadership et gestion déquipe capacité de négociation sens de lorganisation et du résultat maîtrise des outils informatiques excellent relationnel et communication si vous vous reconnaissez dans ce profil et que vous êtes prêt à relever de nouveaux défis nhésitez plus  postulez dès maintenant
680,français sage,communication,communication sont indispensables pour réussir dans ce rôle compétences recherchées  une excellente maîtrise de la langue française écrite et orale capacité à vulgariser les concepts complexes et à les transmettre de manière simple et efficace connaissance des outils de formation et des méthodologies dapprentissage
681,français,volonté communication résilience écoute esprit déquipe,communication et de performance est recherchée compétences nécessaires à la réussite dans ce poste compétences recherchées pour réussir brillamment dans ce poste  une excellente maîtrise de la langue française à lécrit comme à loral est indispensable capacité à communiquer efficacement et à créer un climat de confiance avec les prospects capacité à gérer des conversations de manière fluide et structurée capacité à gérer le stress lié aux objectifs de performance écoute active et dadaptation à des interlocuteurs variés
682,français,relationnel esprit déquipe,maîtrise des outils informatiques et êtes à laise au téléphone
683,supervision qualité,écoute organisation responsabilité résolution de problèmes flexibilité capacité à motiver,écoute active sens de lorganisation sens de la sécurité sens du dialogue et de responsabilité résolution de problèmes connaissance techniques  pouvoir comprendre le processus de production et des équipements utilisés flexibilité pour pouvoir sadapter aux changements de production ou aux imprévus capacité à motiver une équipe pour atteindre les objectifs de production
684,etap canneco,leadership communication,experience in leading the technical aspects of projects in the field of electrical distribution proficiency in etap and canneco software leadership problemsolving communication skills both written and verbal
685,laboratoire analyse de données word,rigueur organisation autonomie communication travail en équipe innovation,analyses physicochimiques et assurer le suivi des résultats expérimentaux compétences techniques   maîtrise des techniques danalyse courantes spectroscopie chromatographie etc connaissances des protocoles expérimentaux et des normes de sécurité capacité à utiliser des outils informatiques pour le traitement et lanalyse de données word excel originlab chemdraw designexpert rigueur sens de lorganisation et autonomie communication et de travail en équipe
686,qualité,rigueur communication résolution de problèmes intégrité,maîtrise des risques industriels ayant expérience de 10 ans dans un milieu industriel dans un poste similaire rigueur et de réactivité communication pour sensibiliser les employés à la sécurité et collaborer avec diverses parties prenantes analyse la résolution de problèmes et lintégrité les candidats ne correspondant pas à ce profil sont priés de sabstenir
687,robot framework java,collaboration,jira postman collaboration avec léquipe et les partenaires participer aux cérémonies robot framework java culture agile safe serai un plus vous avez une forte capacité à communiquer à alerter si nécessaire vous êtes curieux et pragmatique vous aimez comprendre et analyser
688,java sem java spring boot docker cicd soap jenkins ansible gitlab oracle postgresql anglais,innovation,java agile force de proposition dinnovation sur vos domaines de compétences membre à part entière dune équipe agile vous participez activement à lensemble des cérémonies agiles de léquipe  daily meeting back log refinement ou back log grooming sprint planningsprint review ou démo retrospective pi planning développement logiciel java spring boot docker cicd cucumber soap cucumber junit jmeter jenkins ansible gitlab oracle postgresql jira confluence test unitaire mockito safe est un plus
689,sage français,communication adaptabilité aisance relationnelle organisation esprit déquipe proactivité créativité,capacité à saisir les subtilités de la communication compétences avérées dans la gestion de projets de communication la création de contenu et la gestion des relations avec les parties prenantes capacité à travailler en équipe et votre aisance relationnelle compétences clés qui feront de vous la candidate idéale  excellentes compétences rédactionnelles et communicationnelles  vous savez rédiger clairement et efficacement adapter votre message à votre public et maîtriser lart de la communication maîtrise des outils de communication numérique  vous êtes familière avec les outils de création graphique de gestion de contenu et des réseaux sociaux organisation et de la gestion de projet  vous savez planifier organiser et suivre vos projets avec efficacité force de proposition et créativité  vous êtes créative et vous proposez des solutions innovantes pour améliorer les outils et supports de communication maîtrise de lecosystème du monde de la presse national les mensuels les hebdomadaires les quotidiennes les owners les tendances politiques et apolitiques un carnet dadresse des rédacteurs en chefs des éditorialistes des journalistes financiers maîtrise du français est indispensable
690,gitlab linux kubernetes qualité,collaboration collaboration communication rigueur esprit danalyse adaptabilité,collaborer avec les équipes de modélisation marketing et partenaires pour résoudre les problèmes liés au contenu et répondre aux besoins des utilisateurs collaboration avec le devops lead  travailler en étroite collaboration avec le devops lead pour assurer une transition fluide entre le build et le run gestion du contenu expérience en tant que devops idéalement dans un environnement agile compétences interpersonnelles  capacité à travailler en équipe bonne communication et sens de lentraide maîtrise des webservices rest gitlab ci et environnement linux kubernetes expérience avec les clusters kubernetes pour la gestion des conteneurs jira confluence rigueur et précision  capacité à travailler de manière autonome tout en étant pragmatique analyse  aptitude à analyser des problèmes complexes et à proposer des solutions adaptées capacité à sadapter aux évolutions des projets et aux besoins des utilisateurs
691,français crm,communication négociation écoute relationnel diplomatie initiative autonomie,compétences essentielles en communication négociation et gestion de la relation client expérience en call center en vente ou tout autre rôle impliquant la gestion de contacts clients sera valorisée capacité à atteindre vos objectifs dans un contexte exigeant et vous êtes à laise dans la gestion simultanée de plusieurs tâches maîtrisez parfaitement la langue française à loral comme à lécrit écoute de communication et de persuasion communication et des centres dappels
692,sem reporting tableau conformité gestion des ressources humaines word powerpoint français anglais français,écoute communication synthèse,résoudre les problèmes pouvant survenir etre à lécoute et au service permanents de lensemble des employés maîtrise de loutil informatique  word excel et powerpoint connaissance de la législation marocaine du travail connaissance de lenvironnement paie maîtrise de la langue française est obligatoire langlais est souhaitable écoute et de communication analyse de synthèse et de capacité rédactionnelle
693,français,orientation client autonomie communication,compétences générales sur la gestion de la relation client capacité à détecter traiter et résoudre les incidents techniques niveau 12 orientation client  service autonomie  capacité à gérer son stress très bon niveau de communication en français connaissances en sqlpl sql certification itil est un plus
694,français,orientation client autonomie communication,compétences générales sur la gestion de la relation client capacité à détecter traiter et résoudre les incidents techniques niveau 12 orientation client  service autonomie  capacité à gérer son stress très bon niveau de communication en français connaissances en sqlpl sql certification itil est un plus
695,python angular anglais,communication,maîtrise de python et angular excellentes compétences en communication et capacité à travailler en équipe comprendre et de communiquer efficacement dans un environnement travail international
696,français,flexibilité,capacité à sadapter rapidement à prendre les bonnes décisions et à faire preuve de flexibilité et de sérénité face aux changements et aux défis inattendus capacité à travailler de manière minutieuse et méthodique capacité à démontrer un sens inné du service et à maintenir une interaction professionnelle et agréable indépendamment des circonstances maîtrise parfaite du français à lécrit comme à loral
697,java hibernate cicd docker kubernetes bases de données mysql postgresql français,relationnel leadership communication,expérience en développement java dont 2 ans en tant que tech lead expertise en java 8 ou supérieur et frameworks associés spring hibernate etc expérience en microservices cicd conteneurs docker kubernetes connaissance des bases de données relationnelles mysql postgresql etc compétences en leadership et capacité à encadrer des équipes techniques capacité à résoudre des problèmes complexes et à prendre des décisions rapidement agile scrum compétences en communication en français
698,reporting assurance,esprit danalyse,analyser les performances de lentreprise et formuler des recommandations en vue daméliorer les résultats analyser et communiquer efficacement les données financières et de performance aux parties prenantes internes et externes maîtrisez parfaitement les outils informatiques notamment excel
699,kpi reporting analyse de données qualité sage http assurance,leadership autonomie initiative orientation client communication volonté,analyse des stratégies de fidélisation   concevoir et mettre en uvre des programmes de fidélisation à la fois des approches en surveillance de portefeuille et en défense de portefeuille en utilisant des outils digitaux pour analyser les comportements des clients analyse et de reporting proposer des plans dactions correctives en cas de non atteinte des objectifs comprendre leurs besoins et leurs attentes analyser les retours dexpérience clients afin daméliorer les services proposés compétences   excellentes compétences en gestion déquipe et en leadership force de proposition autonomie et capacité à prendre des initiatives analyse de données capacité à travailler en équipe et à collaborer avec différents départements compétences en communication capacité à fédérer motiver et inspirer les membres de léquipe capacité à réagir rapidement et efficacement en gérant les priorités et en résolvant les problèmes
700,marketing digital qualité,communication organisation relationnel écoute esprit déquipe,communication avec une expérience solide en communication et marketing digital de minimum 5 ans et une expérience ou une affinité probante dans un domaine similaire est fortement souhaitable organisation et de compétences de pilotage écoute et dun fort esprit déquipe savoir entretenir un réseau coordonner des prestataires piloter les budgets alloués aux projets
701,qualité audit planification gestion des risques,communication relationnel capacité danalyse synthèse,skills   techniques daudit fournisseurs  technique de résolution problème  développement qualité fournisseurs  planification et gestion de la performance  gestion des processus  gestion des risques  communication interpersonnelle  intelligence relationnelle  capacité danalyse et de synthèse  posture  représentativité
702,qualité assurance planification gestion des risques anglais espagnol,résolution de problèmes relationnel communication,compétences clés   stratégie assurance qualité fournisseur  planification gestion de la performance opérationnelle  développement qualité des fournisseurs  techniques de résolution de problèmes  gestion des risques  gestion de projetsprocessus  excellentes aptitudes relationnelles et communicationnelles  la maitrise de la langue anglaise et espagnole
703,Non spécifié,communication leadership gestion du changement,expérience en tant que scrum master compétences  expertise des méthodologies agile en particulier scrum scrum capacité à gérer plusieurs équipes en parallèle et à les accompagner dans leur évolution agile compétences en communication leadership et gestion du changement
704,Non spécifié,Non spécifié,expérience en développement pega compétences maîtrise de la plateforme pega prpc et des outils associés expérience avec le développement de règles processus interfaces et intégrations sur pega connaissance des bonnes pratiques de développement et de la gestion des versions sur pega
705,oracle supply chain,Non spécifié,expérience en tant que consultant technique oracle ebs compétences maîtrise des modules oracle ebs finance supply chain hr etc expertise en développement oracle forms reports plsql et interfaces connaissance des processus dimplémentation et de support doracle ebs connaissance des bonnes pratiques de gestion des performances dans oracle ebs
706,sap,Non spécifié,expérience en développement sap abap compétences maîtrise du langage de programmation abap et des outils sap reports bapis user exits alv etc connaissance des modules sap fi mm sd etc maîtrise de loutil de débogage et gestion des performances
707,Non spécifié,Non spécifié,expérience en tant que business analyst compétences  maîtrise des méthodes danalyse et de gestion de projets compétences en rédaction de documentation fonctionnelle et techniques capacité à travailler en équipe et à communiquer efficacement avec les parties prenantes connaissance des outils de gestion de projet jira confluence etc
708,informatica qualité etl bases de données,Non spécifié,compétences techniques maîtrise des outils informatica informatica data quality informatica powercenter etc expérience en développement etl et gestion des données compétences en sql et dans la manipulation de bases de données
709,qualité sage,Non spécifié,analyser les problèmes rencontrés au cours du processus dimport capacité à travailler en synergie avec plusieurs services be indus production
710,qualité sage français anglais,communication communication rigueur,analyser les problèmes rencontrés au cours du processus dimport communicationindustriel compétences requises   méthodologiques  référentiels et normes  itil v3 iso 20000  sales force confluence communication en français écritparlé  bon anglais écrit parlé  bon esprit danalyse  orienté solution  rigueur  bon esprit déquipe et sens de service
711,scala qualité français anglais,autonomie communication communication rigueur,analyse tests suivi et capitalisation analyses préliminaires à laide des outils fournis  gérer les escalades informer les n1 sur lavancée de la résolution autonomie des niveaux de la chaine descalade n1 la plus proches des clients communicationindustriel communication en français écritparlé  bon anglais écrit parlé  bon esprit danalyse  orienté solution  rigueur  bon esprit déquipe et sens de service
712,arabe français anglais,organisation,compétences et lexpérience du candidat avec des avantages sociaux très intéressants culture dentreprise inclusive collaborative et respectueuse favorisant un bon équilibre entre vie professionnelle et personnelle compétences  bonne maîtrise de la mécanique et lélectrique connaissances en automatisme organisation besoin dobjectivité ténacité rationalisme respect des règles
713,foundation less microsoft excel,communication collaboration,safetymaintenance or a related field is strongly preferred problemsolving experience in a similar planning role ability to develop and implement effective schedules manage resources effectively and resolve scheduling conflicts experience in a manufacturing environment or a related industry is a significant advantage skills are essential skills are paramount to prioritize tasks and meet tight deadlines proficiency in data analysis and interpretation is critical to make informed decisions based on datadriven insights communication skills both written and verbal are essential for seamless collaboration with diverse teams and stakeholders proficiency in using planning software is a must skills in microsoft excel are highly valued problemsolving
714,foundation iso 9001 reporting,communication,safetymaintenance or a closely related field is highly desirable skills and knowledge to succeed experience in a quality engineering role experience in the field will allow you to quickly understand and become an integral part of the team skillset including strong analytical and problemsolving skills ability to identify and resolve quality issues effectively proficiency a solid understanding of quality control methodologies statistical process control and quality management systems such as iso 9001 communication and interpersonal skills ability to collaborate effectively with colleagues across different departments proficiency in relevant software experience using quality management software and statistical analysis tools
715,sem scala français,communication,analyser diagnostiquer et résoudre les incidents avec contraintes de temps assurer la satisfaction du client en apportant des réponses pertinentes et pointues dans des délais minimums assurer la communication client identifier diagnostiquer les dysfonctionnements incidents interruptions de service et mettre en uvre les mesures correctives contrôler de la bonne complétude et avancée des tickets de niveau 1 assurer un support à léquipe service clients et aux équipes terrains de premier niveau accompagner le client final de bout en bout jusquau rétablissement du service qualifier les tickets avant escalade sur les services expert niveau 3 analyse et diagnostic faire le suivi des incidents  relances consolidation analyse de tendance demandes dactions préventives de fond accueillir des demandes des utilisateurs suite à des dysfonctionnements  prise en compte des appels des clients piloter une équipe de techniciens et mettre en place les procédures dexploitation compétences linguistiques  français  niveau de communication avancé
716,sage autocad solidworks,capacité danalyse synthèse rigueur organisation esprit déquipe communication autonomie proactivité,compétences suivantes  maîtrise des logiciels autocad solidworks connaissance des matériaux et des procédés de fabrication capacité danalyse et de synthèse rigueur et sens de lorganisation esprit déquipe et communication efficace autonomie et proactivité
717,Non spécifié,Non spécifié,experience in an industrial environment language fluent speaker of french and english
718,Non spécifié,communication,compétences interpersonnelles et communicationnelles
719,java python hibernate spring boot angular react postgresql mongodb qualité,communication,expérience en tant que développeur fullstack avec une maitrise des méthodes agiles compétences techniques  méthode  scrum agile  devops language  javajee python frame work hibernate spring boot angular flutter react application mobile  un plus serveur dapplication  jboss tomcat nginx cycle devops  un plus traitement bigdata un plus base de données  elastic search postgresql db2 mongodb maîtriser les concepts darchitecture logicielle et pratiquez la méthode agile compétences en communication
720,audit contrôle de gestion,synthèse capacité danalyse travail en équipe responsabilité,compétences suivantes  capacité à obtenir et collecter toute information utile et la traduire en éléments financiers capacité à anticiper les dérives et déterminer les zones doptimisation capacité à produire des documents de synthèse et les analyser capacité à apporter un appui techniqueconseil en gestion études de x coûts analyse  de synthèse et travail en équipe sont les atouts et facteurs clés de succès de ce poste
721,access français,Non spécifié,expérience en management relation client vente etcest souhaitable pour accéder à ce poste maîtrise de la relation client animation déquipe pratique professionnelle de la langue française
722,Non spécifié,communication initiative,skills  proficiency in order management systems  excellent attention to detail and accuracy  strong communication and problemsolving skills  ability to work collaboratively in a team setting language and computer skills  proficiency in french and good command of english are required ability to work on own initiative strong organizational skills and effective communication with all levels and departments involved in the process
723,outlook arabe anglais français,communication créativité,communication interne collaborer avec les équipes internes pour comprendre les besoins en contenu et les exigences spécifiques à chaque projet communication interne gérer les différents types dévènements internes compétences et qualifications  formation école de communicationmarketing ou autre similaire 3 à 5 ans dexpériences maitrise de larabe anglais et français organiséerigoureuxse expérience journalistique interne est un plus compétences rédactionnelles et de communication capacité à travailler en équipe et à coordonner des projets avec plusieurs parties prenantes capacité à générer des idées innovantes pour différents formats de contenu et notamment audiovisuelles
724,audit,communication,skills required languages english and spanish fluent  b2c1 ms suite candidate background skills knowledge and abilities minimum ability to work with minimal supevision highly selfmotivated ability to perform and make informed decisions under pressure minimum ability to meet tight deadlines preferred negotiation and conflict management skills preferred business communication skills preferred understand the breadth of xerox products solutions and services key offerings and the resources that support delivery of the services skills preferred ability to generate reports suitable for management presentationaudit preferred eye for detail with high level of accuracy ability to follow process strictly in a stepbystep manner and execute commands with precision and with zero errors communications skills both verbal and nonverbal ability to engage socially with clients partners and ability to comprehend requirements and share their point of view and ask questions to understand and explain your point of view ability to operate within a team and participate on conference calls
725,Non spécifié,communication,connaissances de base en gestion de systèmes windows et en installation de périphériques comme les imprimantes capacité à diagnostiquer et résoudre des problèmes techniques courants compétences en communication et capacité à travailler en équipe
726,iot big data cloud python cloud,Non spécifié,knowledge in geospatial data base and sig good knowledge on cloud optimized formats cog zarr geoparquet etc knowledge of python programming and c programming associated with ai libraries and cloud librairies ability to write impactful articles fluent in french and english the candidate must demonstrate a high level of autonomy and scientific rigor
727,laboratoire cloud docker sécurité informatique github aws azure français anglais qualité,qualités relationnelles,culture et la santé développement logiciel expertise dans les domaines de lit du cloud computing et de la dockerisation compétences requises master en it ou en développement logiciel pour lia expérience de 10 ans minimum dans le développement et lexploitation de solutions en ia en particulier dans le cloud et sur devices mobiles docker jira
728,français anglais crm,communication relationnel,maîtrise parfaite du français et de langlais niveau c1 compétences en communication et sens aigu du relationnel capacité à résoudre des problèmes réactivité et attention aux détails expérience avec des outils crm serait un plus
729,transport,innovation,Non spécifié
730,Non spécifié,communication,communication skills  good numeric and verbal reasoning skills  effective time management skills  ability to organise and prioritise set priorities and multitask team manager jjdcc  effective problem solving skills
731,microbiologie microbiologie laboratoire qualité,résolution de problèmes initiative communication,connaissances en gestion de laboratoire et en normes de qualité seraient un atout expérience en gestion déquipe et en résolution de problèmes techniques est souhaitée capacité à travailler de manière autonome et à prendre des initiatives sera appréciée compétences techniques en microbiologie ainsi quune bonne connaissance des normes et réglementations en vigueur compétences en gestion déquipe en communication et en résolution de problèmes sont essentielles maîtrise des outils informatiques et des logiciels de laboratoire est également requise
732,français sem,relationnel travail en équipe flexibilité organisation,maîtriser le classement tant des dossiers électroniques que papier 6 savoir anticiper et organiser ses tâches son temps pour respecter les délais
733,Non spécifié,Non spécifié,experience in a similar role preferably in a dynamic and structured environment proficiency in french is an asset
734,Non spécifié,communication négociation initiative goût du challenge,compétences en communication négociation et vente et a le sens de linitiative et le goût du challenge maîtrise des techniques de vente est un atout majeur
735,logistique sage oracle qualité,communication négociation résolution de problèmes rigueur organisation,communication et assertivité maîtrise des logiciels de gestion des achats et des erp comme sage oracle etc connaissance des réglementations et des normes en matière dachats dans le domaine hospitalier compétences en négociation et en gestion des relations fournisseurs analyse et de résolution de problèmes maîtrise des outils bureautiques capacité à travailler de manière autonome et en équipe rigueur sens de lorganisation et aptitude à gérer les priorités
736,Non spécifié,autonomie gestion du temps,connaissance de loutil informatique autonomie gestion du temps et capacité à hiérarchiser les priorités
737,foundation automation anywhere sap scala less reporting,Non spécifié,knowledge and analytical skills necessary to excel in the complex world of automation engineering problemsolving ability to design develop and implement robust automation solutions experience in the computer science industry will be highly advantageous enabling you to quickly adapt to the companys environment and contribute effectively from day one skills automation engineer  must be fully effective with automation anywhere 360  business analyst  must be capable to analyze business requirements and implement automation scripts to support  scorecarding  performance reporting  must be able to include performance metrics in automation that aligns with project requirements  other skillsnice to have  ability to quickly and efficiently ramp up knowledge of it environment able to work with business teams to understand processes be proactive in reaching out for clarification improvement quick learner to understand business requirements
738,sem comptabilité supervision comptabilité,Non spécifié,analyse des comptes et les rapprochements bancaires et participer sous la supervision du responsable administratif et financier à la réalisation des arrêtés semestriels et annuels et aux travaux de fin dannée
739,reporting audit contrôle de gestion audit contrôle de gestion,Non spécifié,analyser les réalisations vs budjets  suivre la rentabilité des projets  préparer les reporting et les analyses pour la direction  analyser les données comptables et financières des projets
740,gestion des stocks reporting,négociation leadership relationnel communication gestion du stress responsabilité,compétences suivantes  capacité à organiser la gestion des stocks de produit capacité à effectuer des comptes rendus capacité à conduire des négociations capacité à piloter la performance reporting de lactivité dans son périmètre et suivre les indicateurs leadership orientation résultats force de proposition impact et persuasion sens relationnel  de la communication et selfcontrolgestion du stress et des conflits sont les atouts et facteurs clés de succès de ce poste
741,gestion des stocks reporting,négociation leadership relationnel communication gestion du stress responsabilité,compétences suivantes  capacité à organiser la gestion des stocks de produit capacité à effectuer des comptes rendus capacité à conduire des négociations capacité à piloter la performance reporting de lactivité dans son périmètre et suivre les indicateurs leadership orientation résultats force de proposition impact et persuasion sens relationnel  de la communication et selfcontrolgestion du stress et des conflits sont les atouts et facteurs clés de succès de ce poste
742,linux français anglais,communication curiosité,communication en français avec une capacité de tenir des échanges techniques en anglais curiosité et désir daméliorer ses compétences et ses connaissances
743,gestion des stocks reporting,négociation leadership relationnel communication gestion du stress responsabilité,compétences suivantes  capacité à organiser la gestion des stocks de produit capacité à effectuer des comptes rendus capacité à conduire des négociations capacité à piloter la performance reporting de lactivité dans son périmètre et suivre les indicateurs leadership orientation résultats force de proposition impact et persuasion sens relationnel  de la communication et selfcontrolgestion du stress et des conflits sont les atouts et facteurs clés de succès de ce poste
744,qualité allemand anglais sage transport assurance assurance,responsabilité,maîtrise de lallemand à lécrit et à loral bon niveau en anglais capacité dadaptation et dapprentissage des procédures et outils avantages  salaire fixe  prime facilement atteignable  prime de langue transport assuré gratuitement assurance maladie obligatoire  cnops   assurance complémentaire  atlanta  rcar don de laïd al adha  de naissance  de scolarité des enfants  dachoura si enfants
745,logistique word powerpoint,polyvalence communication,compétences techniques exigées   connaissance du code du travail et de la réglementation régissant les associations  maîtrise souhaitée des logiciels de gestion administrative et logistique  maitrise des principaux outils informatiquesbureautiques  excel word powerpoint  polyvalence et connaissances de base des métiers de support  assistance à toutes les fonctions métiers administration et finances assistanat achats  compétences en gestion et droit  bon sens de la communication et disposant de capacités dadaptation à toute situation professionnelle la date limite de dépôt des candidatures est fixée au 02 janvier 2025
746,qualité html5 java jquery c cicd azure,Non spécifié,agile maîtrise des outils suivants front  html5  css  javascript  jquery back  c cicd
747,audit contrôle de gestion,synthèse capacité danalyse travail en équipe responsabilité,compétences suivantes  capacité à obtenir et collecter toute information utile et la traduire en éléments financiers capacité à anticiper les dérives et déterminer les zones doptimisation capacité à produire des documents de synthèse et les analyser capacité à apporter un appui techniqueconseil en gestion études de x coûts analyse  de synthèse et travail en équipe sont les atouts et facteurs clés de succès de ce poste
748,maintenance préventive gestion des stocks,gestion des priorités organisation polyvalence patience autonomie,connaissance des logiciels de traitement de texte et de graphisme  savoir faire  maîtrise des équipements de reprographie  utilisation de logiciels dinfographie  maintenance préventive et corrective  gestion des stocks  respect des délais et gestion des priorités savoir etre  organisation  polyvalence  discrétion  orientation service client  patience et calme  autonomie
749,français qualité banque assurance,leadership,maîtrise de la langue française et une connaissance des outils informatiques compétences comportementales métiers et techniques clés pour une employabilité maximale   parcours collaborateur certifié en finances iobsp  intermédiaire en opérations de banque et de services de paiements  ias  intermédiaire en assurance  parcours de formations réglementaires banque et assurances  parcours de développement personnel cursus leadership et management
750,power bi tableau reporting coordination,communication,proficiency expertise in excel power bi tableau sql or similar tools for data visualization and reporting safety metrics e communication and expression skills analysis and judgment skills organization and coordination skills plan execution skills teamwork and interpersonal skills proficient in using excelppt and english can be used as a working language
751,audit coordination,leadership communication,safety professional csp occupational health and safety technician ohst or similar credentials  iso 45001 and iso 14001 iso 14064 iso 5001 work at height training certificate firefighting training certificate emergency resecue training certificate lifting training certificate confined space training certificate chemicals handling and storage training certificate lototo training certificate hot work training certificate leadership and teamwork strong analytical and problemsolving skills to address complex ehs challenges proficiency in conducting risk assessments hazard analyses good communication and expression skills analysis and judgment skills organization and coordination skills plan execution skills teamwork and interpersonal skills proficient in using excelppt and english can be used as a working language
752,génie civil,Non spécifié,force de proposition
753,audit coordination,leadership communication,safety professional csp occupational health and safety technician ohst or similar credentials  iso 45001 and iso 14001 work at height training certificate firefighting training certificate emergency resecue training certificate lifting training certificate confined space training certificate chemicals handling and storage training certificate lototo training certificate hot work training certificate leadership and teamwork strong analytical and problemsolving skills to address complex ehs challenges ability to perform physically demanding tasks under stressful and hazardous conditions communication and expression skills analysis and judgment skills organization and coordination skills plan execution skills teamwork and interpersonal skills meet the physical fitness requirements
754,Non spécifié,communication,communications minimum of 10 years of experience in media relations social media management and crisis communication communication skills ability to thrive in a fastpaced environment and handle multiple projects simultaneously proficiency in crisis management media monitoring and social media management tools problemsolving skills and the ability to build relationships with diverse stakeholders skills in english and french arabic chinese is a plus
755,Non spécifié,leadership organisation capacité à motiver relationnel communication négociation,compétences en gestion déquipe en gestion financière et en développement commercial leadership organisation et votre capacité à motiver une équipe communication et la négociation maîtrisez les outils informatiques et possédez une bonne connaissance des logiciels de gestion
756,comptabilité contrôle de gestion analyse financière reporting,rigueur organisation communication esprit déquipe,maîtrisez les principes comptables et les normes fiscales compétences en analyse financière et en reporting sont essentielles rigueur votre organisation et votre sens de la confidentialité sont des atouts indispensables pour réussir dans ce poste communication un esprit déquipe et une capacité dadaptation sont également recherchés
757,reporting kpi français anglais,communication collaboration communication organisation aisance relationnelle créativité,communication du groupe à léchelle site en collaboration étroite avec le manager communication communication interne et externe via les graphic designers guides livrets daccueil brochures affiches supports dinformation et de sensibilisation kits dintégration supports dévénements divers internes et externes organisation et veiller au bon déroulement de tous les événements internes et externes fêtes annuels événements du calendrier marketing célébrations en tous genres collaboration avec le manager et veiller à son application communication prévues dans le planning initial communication à créer et maintenir une excellente image de lentreprise tant à linterne quà lexterne communication  online et offline communication  digitaux et offline communicationmarketingcommerce aisance relationnelle et compétences danimation et dévénementiel connaissance des techniques de veille et de recherche de linformation maîtrise de loutil informatique de la suite office et adobe compétences en communication écrite et orale en français et en anglais organisation et force de proposition
758,cloud bases de données,résolution de problèmes,expertise dans lorchestration de données et la création de pipelines compétences en matière danalyse et de résolution de problèmes
759,qualité,leadership communication travail en équipe organisation rigueur,comprendre le contexte et les enjeux du poste capacité à diriger une équipe à motiver ses membres et à développer leur potentiel leadership compétences en communication et en relation interpersonnelle  sens du travail en équipe  organisation et rigueur  capacité à gérer le stress et à résoudre les problèmes  maîtrise des outils informatiques si vous êtes une personne motivée dynamique et passionnée par le secteur de la communication et de lévénementiel nhésitez plus  postulez dès maintenant
760,français,volonté communication résilience écoute esprit déquipe,communication et de performance est recherchée compétences nécessaires à la réussite dans ce poste compétences recherchées pour réussir brillamment dans ce poste  une excellente maîtrise de la langue française à lécrit comme à loral est indispensable capacité à communiquer efficacement et à créer un climat de confiance avec les prospects capacité à gérer des conversations de manière fluide et structurée capacité à gérer le stress lié aux objectifs de performance écoute active et dadaptation à des interlocuteurs variés
761,qualité optimisation des processus sem,communication communication négociation initiative orientation client innovation organisation,communication  le candidat doit posséder dexcellentes compétences en communication écrite et orale avec la capacité de synthétiser des informations complexes et de les présenter de manière claire et persuasive capacité à collaborer efficacement avec le management en instaurant une relation de confiance proposer des recommandations pertinentes et garantir une communication transparente sur lavancement des projets et initiatives proposer des solutions adaptées danticiper les attentes des parties prenantes et de maintenir une relation de qualité pour maximiser la satisfaction et la fidélisation culture de linnovation proposer des solutions créatives pour résoudre des problèmes complexes et encourager ladoption de nouvelles technologies ou méthodologies pour renforcer la compétitivité de linstitution comprendre les enjeux stratégiques à long terme et dintégrer les différentes dimensions de linstitution organisation et à aligner les projets sur la vision globale tout en tenant compte des enjeux externes et internes
762,Non spécifié,organisation écoute,organisationnels compétences stratégiques humaines et juridiques ainsi quune forte capacité à anticiper les évolutions et à sadapter aux changements écoute des collaborateurs tout en veillant à la performance et à la compétitivité de lentreprise
763,word powerpoint outlook reporting logistique qualité,organisation relationnel communication diplomatie rigueur autonomie gestion des priorités initiative proactivité adaptabilité,compétences techniques  maîtrise avancée des outils bureautiques word excel powerpoint outlook organisationnelles capacité à suivre les échéances compétences relationnelles  excellente communication orale et écrite capacité à interagir avec différents interlocuteurs internes et externes compétences organisationnelles  rigueur méthode et autonomie capacité à anticiper les besoins de la direction communication logistique ou domaine équivalent proactivité discrétion esprit déquipe adaptabilité et capacité à gérer des situations multiples
764,sem scala français,communication,expertise sur lensemble des phases du traitement des incidents réseaux analyser diagnostiquer et résoudre les incidents avec contraintes de temps assurer la satisfaction du client en apportant des réponses pertinentes et pointues dans des délais minimums assurer la communication client identifier diagnostiquer les dysfonctionnements incidents interruptions de service et mettre en uvre les mesures correctives contrôler de la bonne complétude et avancée des tickets de niveau 1 assurer un support à léquipe service clients et aux équipes terrains de premier niveau accompagner le client final de bout en bout jusquau rétablissement du service qualifier les tickets avant escalade sur les services expert niveau 3 analyse et diagnostic analyse de tendance compétences linguistiques  français  niveau de communication avancé
765,Non spécifié,Non spécifié,Non spécifié
