id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail
841,test manager anglophone hf rabat maroc,https://www.rekrute.com/,2024-12-17,axa services maroc,rattachée au responsable testing le test manager assure la gestion de léquipe de tests et de correspondants informatiques ainsi que la validation des développements avant leur mise en production dans ce cadre il  manage,1 postes sur rabat et région  maroc,rabat,secteur dactivité  informatique,Non spécifié,cdi,bac 5 et plus minimum  ecole dingénieur poste avec management,6-10 ans,poste  rattachée au responsable testing le test manager assure la gestion de léquipe de tests et de correspondants informatiques ainsi que la validation des développements avant leur mise en production dans ce cadre il  manage léquipe de test et établit les stratégies test  garantir la qualité des tests réalisés par léquipe en mode projet ou run selon la méthodologie agile participe et veille à la mise à jour des plans de test et stratégie de test suivant les normes et standards istqb assure la définition lorganisation et la conduite des compagnes de tests uat veille à lapplication des best practices pour la définition et la création des plans et suite de tests au niveau tfs pour gérer les tests manuels et automatisés de façon centralisée et normalisée gère léquipe de tests et correspondants informatiques gérer son équipe au quotidien organiser et animer des points équipe réguliers avec les collaborateurs assurer la planification et le suivi des différentes taches de testing de son équipe assure laccompagnement individuel  fixer les objectifs individuels de ses collaborateurs organiser et animer des entretiens individuels suivi de performance assurer le coaching au poste de collaborateurs en difficulté assure un reporting efficace et régulier  effectuer un reporting dactivité et de performance régulier remonter les informations et alertes relatives aux collaborateurs elaborer et présenter des bilans réguliers dactivité et les différents rapports davancement des tâches de testing de son équipe,qualité planification reporting anglais,organisation synthèse sens des responsabilités esprit déquipe,agile organisation et la conduite des compagnes de tests uat veille à lapplication des best practices pour la définition et la création des plans et suite de tests au niveau tfs pour gérer les tests manuels et automatisés de façon centralisée et normalisée gère léquipe de tests et correspondants informatiques gérer son équipe au quotidien organiser et animer des points équipe réguliers avec les collaborateurs assurer la planification et le suivi des différentes taches de testing de son équipe assure laccompagnement individuel  fixer les objectifs individuels de ses collaborateurs organiser et animer des entretiens individuels suivi de performance assurer le coaching au poste de collaborateurs en difficulté assure un reporting efficace et régulier  effectuer un reporting dactivité et de performance régulier remonter les informations et alertes relatives aux collaborateurs elaborer et présenter des bilans réguliers dactivité et les différents rapports davancement des tâches de testing de son équipe maîtrisez les fondamentaux de management et de lencadrement déquipe maîtrisez les techniques de pilotage de projet et vous êtes en mesure davoir une vision globale de larchitecture dun système dinformation et à manager des projets en transversal capacité à agir dans un environnement complexe et à coordonner des actions stratégiques êtes autonome et pragmatique avez lesprit du détail danalyse de synthèse et danticipation avez un sens des responsabilités aigu et un esprit déquipe compte tenu de lenvironnement international un niveau danglais opérationnel est indispensable,anglais courant,Non spécifié,1
842,charge daffaires entreprises casablanca maroc,https://www.rekrute.com/,2024-12-17,bank assafa,intégrez une banque de renom au cur du secteur dynamique de la banque participative en tant que chargé e daffaires entreprises vous rejoindrez une équipe passionnée et vous contribuerez activement au,4 postes sur casablanca et région  maroc,casablanca,secteur dactivité  banque  finance,Non spécifié,cdi,bac 5 et plus minimum  master  ecole de commerce poste avec management,6-10 ans,profil recherché  le candidat idéal est titulaire dun bac 5 ou plus avec une spécialisation en banquemétiers de la finance une expérience significative de 5 à 10 ans dans la gestion dun portefeuille de clients entreprises est indispensable une connaissance approfondie du secteur de la banquefinance connaissances de la finance participative sera un atout principales connaissances requises   réglementation bancaire  évaluation des entreprises et analyse de risques  analyse des besoins de financementplacement des entreprises  catalogue produitsservices et tarifications compétences recherchées   écoute dialogue capacité de conviction  dynamisme sens commercial prise dinitiative dans la mise en oeuvre des actions commerciales  prise de risques souci de la rentabilité  négociation vente  animation gestion des conflits travail en équipe si ce poste stimulant au sein dune banque de premier plan correspond à vos aspirations et si votre profil répond aux exigences décrites nhésitez pas à postuler au plus vite en utilisant le bouton  envoyer mon cv au recruteur,banque banque,initiative négociation gestion des conflits travail en équipe,connaissances de la finance participative sera un atout connaissances requises   réglementation bancaire  évaluation des entreprises et analyse de risques  analyse des besoins de financementplacement des entreprises  catalogue produitsservices et tarifications compétences recherchées   écoute dialogue capacité de conviction  dynamisme sens commercial prise dinitiative dans la mise en oeuvre des actions commerciales  prise de risques souci de la rentabilité  négociation vente  animation gestion des conflits travail en équipe,français courant,Non spécifié,0
843,animateur de vente en magasin knitra maroc,https://www.rekrute.com/,2024-12-16,ariston maroc,lanimateur de vente est responsable de promouvoir les produits de lentreprise en magasin et de maximiser les ventes son rôle consiste à attirer lattention des clients présenter les produits offrir des,1 postes sur kénitra et région  maroc,kénitra,secteur dactivité  distribution,Non spécifié,intérim,bac 2 minimum,3-5 ans,profil recherché   expérience en vente ou en animation de produits de 2 ans minimum  niveau de formation  bac2 ou équivalent avec une orientation en commerce  bonne communication aisance en public,non spécifié,communication,expérience en vente ou en animation de produits de 2 ans minimum communication aisance en public,français courant,Non spécifié,0
844,hr generalist fs maroc,https://www.rekrute.com/,2024-12-16,cnexia,gérer les politiques locales en matière des ressources humaines incluant les procédures et les programmes appropriés aux fonctions supports et employées it tech assurer le suivi et lapplication des avantages,1 postes sur rabat et région  maroc,fès,secteur dactivité  centre dappel  informatique,Non spécifié,cdi,bac 4 minimum  université poste avec management,3-5 ans,poste  gérer les politiques locales en matière des ressources humaines incluant les procédures et les programmes appropriés aux fonctions supports et employées it tech assurer le suivi et lapplication des avantages sociaux en faveur de tous les employés apporter un soutien aux employés sur différents sujets liés aux rh comme les congés et les rémunérations et résoudre les problèmes pouvant survenir etre à lécoute et au service permanents de lensemble des employés superviser lutilisation de loutil de pointage assister aux réunions avec les délégués du personnel et assurer lapplication des plans daction qui sensuivent gérer les plans de rémunération et davantages améliorer la satisfaction au travail en résolvant rapidement les problèmes en mettant en uvre les nouveaux avantages et primes et en organisant des activités de cohésion des équipes assurer le respect du droit du travail coordonner lexécution des demandes people émanant des autres départements assurer la mise à jour et le suivi des reportings mensuels et des bilans trimestriels intervenir avec linspection du travail en matière de règlement des litiges sociaux assurer le développement du tableau de bord de la fonction rh sassurer de la conformité des process rh avec les normes et les référentiels appropriés etre conforme avec la politique du groupe et les procédures en termes de sécurité,sem reporting tableau conformité gestion des ressources humaines word powerpoint français anglais français,écoute communication synthèse,résoudre les problèmes pouvant survenir etre à lécoute et au service permanents de lensemble des employés maîtrise de loutil informatique  word excel et powerpoint connaissance de la législation marocaine du travail connaissance de lenvironnement paie maîtrise de la langue française est obligatoire langlais est souhaitable écoute et de communication analyse de synthèse et de capacité rédactionnelle,français courant anglais courant français courant,Non spécifié,0
845,spcialiste sirh hf rabat maroc,https://www.rekrute.com/,2024-12-16,cnexia,importer des données et collecter les informations nécessaires pour une configuration idéale du logiciel réaliser une analyse fonctionnelle des besoins du client paie recrutement gestion de carrière,1 postes sur rabat et région  maroc,rabat,secteur dactivité  centre dappel  informatique,Non spécifié,cdi,bac 5 et plus minimum  formation spécialisée,3-5 ans,poste  importer des données et collecter les informations nécessaires pour une configuration idéale du logiciel réaliser une analyse fonctionnelle des besoins du client paie recrutement gestion de carrière formation rédiger les spécifications fonctionnelles piloter les projets jusquà la mise en production en priorisant limplémentation des différents modules assurer la communication avec les acteurs du projet services rh et équipes informatiques informer sur leur état davancement établir les reportings liés à son activité former les nouveaux utilisateurs à lapplication créer un support client pour faire face à des problèmes dutilisation assurer le support aux équipes durant les phases daudit et de développement de loutil assurer le suivi et les réponses aux remontées clients réaliser le paramétrage de lapplication et des outils dinformatique décisionnelle permettant lextraction des données pour les déclarations obligatoires et lalimentation de la bdes base de données économiques et sociales assurer la maintenance en conditions opérationnelles assurer la réalisation et la livraison des interfaces définir les éventuels patches de mises à jour automatiques suite aux évolutions réglementaires etou fiscales des éléments liés à la paie centraliser les incidents assurer un suivi de leur traitement et effectuer les relances nécessaires apporter des solutions doptimisation de loutil automatisation fiabilisation personnaliser le logiciel aux besoins des clients etou spécificités de lentreprise mettre en place des interfaces entre les solutions avec relation des tables de correspondances réaliser les tests de conformité,reporting audit conformité access sap français anglais,communication organisation écoute synthèse,analyse fonctionnelle des besoins du client paie recrutement gestion de carrière formation communication avec les acteurs du projet services rh et équipes informatiques informer sur leur état davancement maîtrise des outils et des progiciels sirh erp de type hr access peoplenet sap workday talentsoft etc connaissance de lenvironnement paie maîtrise des outils bureautiques maîtrise de lorganisation et de la conduite de réunions connaissance de la méthodologie et des outils de tests fonctionnels maîtrise de la langue française et anglaise à lécrit et à loral écoute et de la communication esprit danalyse esprit de synthèse et capacités rédactionnelles,anglais courant français courant,Non spécifié,1
846,coordinateur sirh hf rabat maroc,https://www.rekrute.com/,2024-12-16,cnexia,volet managerial etre la porte dentrée pour tout le volet sirh seconder la directrice people dans toutes les décisions et mesures lièes au périmetre sirh et veiller à leur déclinaison au sein de,1 postes sur rabat et région  maroc,rabat,secteur dactivité  indifférent,Non spécifié,cdi,bac 5 et plus minimum  master,3-5 ans,poste  volet managerial etre la porte dentrée pour tout le volet sirh seconder la directrice people dans toutes les décisions et mesures lièes au périmetre sirh et veiller à leur déclinaison au sein de léquipe verifier fiabiliser et consolider le travail de léquipe veiller à ce que les membres de léquipe sirh soient à jour et en mesure de traiter efficacement toutes les taches relatives au périmetre représenter léquipe sirh au niveau des réunions et présentations internes volet operationel importer des données et collecter les informations nécessaires pour une configuration idéale du logiciel réaliser une analyse fonctionnelle des besoins du client paie recrutement gestion de carrière formation rédiger les spécifications fonctionnelles piloter les projets jusquà la mise en production en priorisant limplémentation des différents modules assurer la communication avec les acteurs du projet services rh et équipes informatiques informer sur leur état davancement établir les reportings liés à son activité former les nouveaux utilisateurs à lapplication créer un support client pour faire face à des problèmes dutilisation assurer le support aux équipes durant les phases daudit et de développement de loutil assurer le suivi et les réponses aux remontées clients réaliser le paramétrage de lapplication et des outils dinformatique décisionnelle permettant lextraction des données pour les déclarations obligatoires et lalimentation de la bdes base de données économiques et sociales assurer la maintenance en conditions opérationnelles assurer la réalisation et la livraison des interfaces définir les éventuels patches de mises à jour automatiques suite aux évolutions réglementaires etou fiscales des éléments liés à la paie centraliser les incidents assurer un suivi de leur traitement et effectuer les relances nécessaires apporter des solutions doptimisation de loutil automatisation fiabilisation personnaliser le logiciel aux besoins des clients etou spécificités de lentreprise mettre en place des interfaces entre les solutions avec relation des tables de correspondances réaliser les tests de conformité,reporting audit conformité coordination access sap français anglais,communication organisation écoute synthèse,présenter léquipe sirh au niveau des réunions et présentations internes volet operationel importer des données et collecter les informations nécessaires pour une configuration idéale du logiciel analyse fonctionnelle des besoins du client paie recrutement gestion de carrière formation communication avec les acteurs du projet services rh et équipes informatiques informer sur leur état davancement maîtrise des outils et des progiciels sirh erp de type hr access peoplenet sap workday talentsoft etc connaissance de lenvironnement paie maîtrise de lorganisation et de la conduite de réunions connaissance de la méthodologie et des outils de tests fonctionnels maîtrise de la langue française et anglaise à lécrit et à loral écoute et de la communication esprit danalyse esprit de synthèse et capacités rédactionnelles,anglais courant français courant,Non spécifié,0
847,expert data snowflake hf casablanca maroc,https://www.rekrute.com/,2024-12-16,intelcia its,tâches de base  1 maintenir les chaînes de traitement existantes ssis snowsql python assurer la qualité et la disponibilité des données 2 finaliser la migration danciennes chaînes de traitement vers,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  informatique,Non spécifié,freelance,bac 5 et plus minimum  master  ecole dingénieur,10 ans ou plus,profil recherché  compétences   maîtrise de la programmation sql et capacité à écrire des requêtes sql complexes  maîtrise dun ou plusieurs outils etl comme informatica sql server integration services ssis talend ou datastage etc  maîtrise dun ou plusieurs langages de programmation comme python java c etc  connaissance des concepts dentreposage de données et de modélisation de données  expertise en profilage de données analyse de données et qualité des données  familiarité avec les systèmes de bases de données et les réseaux informatiques  excellentes compétences en résolution de problèmes  solides compétences en communication et en collaboration  souci du détail et capacité à gérer de gros volumes de données  capacité à travailler sur de multiples projets en parallèle et en autonomie technologies   gitlab  base de données   sql server  snowflake  sql server integration services ssis  pytho type de contrat freelance mission longue durée,etl informatica talend python java c sage analyse de données qualité bases de données gitlab,résolution de problèmes communication collaboration autonomie,compétences   maîtrise de la programmation sql et capacité à écrire des requêtes sql complexes  maîtrise dun ou plusieurs outils etl comme informatica sql server integration services ssis talend ou datastage etc maîtrise dun ou plusieurs langages de programmation comme python java c etc connaissance des concepts dentreposage de données et de modélisation de données  expertise en profilage de données analyse de données et qualité des données  familiarité avec les systèmes de bases de données et les réseaux informatiques  excellentes compétences en résolution de problèmes  solides compétences en communication et en collaboration  souci du détail et capacité à gérer de gros volumes de données  capacité à travailler sur de multiples projets en parallèle et en autonomie technologies   gitlab  base de données   sql server  snowflake  sql server integration services ssis  pytho type de contrat freelance mission longue durée,français courant,Non spécifié,1
848,coordinateurrice administratif et financier bni mellal maroc,https://www.rekrute.com/,2024-12-16,meski invest  riva industries,intégrez une entreprise dynamique du secteur métallurgie  sidérurgie en tant que coordinateurtrice administratif et financier à béni mellal vous serez un acteur clé au sein de notre équipe contribuant au,1 postes sur béni mellal et région  maroc,béni mellal,secteur dactivité  automobile  motos  cycles,Non spécifié,cdi,bac 5 et plus minimum  master poste avec management,3-5 ans,profil recherché  pour ce poste une formation de niveau bac 5 et plus est requise avec une spécialisation en gestion  comptabilité  finance une connaissance approfondie des normes comptables et des réglementations financières est indispensable une expérience significative de 1 à 3 ans dans un poste similaire idéalement au sein du secteur industriel est un atout majeur une expérience en gestion déquipe et en coordination de projets est également appréciée compétences recherchées maîtrise des outils informatiques de gestion erp logiciels comptables etc excellente communication orale et écrite en français rigueur organisation et sens de lanalyse capacité à travailler en équipe et à gérer les priorités autonomie et proactivité si ce poste correspond à vos aspirations et si vous pensez que votre profil correspond aux exigences nhésitez pas à postuler au plus vite en utilisant le bouton  envoyer mon cv au recruteur,comptabilité coordination français,communication rigueur organisation autonomie proactivité,expérience en gestion déquipe et en coordination de projets est également appréciée compétences recherchées maîtrise des outils informatiques de gestion erp logiciels comptables etc communication orale et écrite en français rigueur organisation et sens de lanalyse capacité à travailler en équipe et à gérer les priorités autonomie et proactivité si ce poste correspond à vos aspirations et si vous pensez que votre profil correspond aux exigences nhésitez pas à postuler au plus vite en utilisant le bouton  envoyer mon cv au recruteur,français courant,Non spécifié,0
849,charg rfrentiel et immobilisations hf rabat maroc,https://www.rekrute.com/,2024-12-16,sorec,rattachée au département achats et infrastructures sa principale mission sera de gérer et doptimiser les référentiels comptables et les actifs immobilisés il garantit la fiabilité et la,1 postes sur rabat et région  maroc,rabat,secteur dactivité  banque  finance,Non spécifié,cdi,bac 3 minimum,3-5 ans,profil recherché   formation  bac 34 en comptabilité finance ou gestion  expérience  minimum 2 ans dans un poste similaire de préférence au sein dune grande structure compétences requises  compétences techniques  pratique des systèmes erp et des outils de gestion  compétences analytiques  capacité à traiter et analyser des données financières qualités personnelles  rigueur et attention aux détails  bonnes capacités de communication et esprit déquipe  proactivité et sens de lorganisation,comptabilité qualité,rigueur communication proactivité organisation,compétences requises  compétences techniques  pratique des systèmes erp et des outils de gestion compétences analytiques  capacité à traiter et analyser des données financières rigueur et attention aux détails communication et esprit déquipe proactivité et sens de lorganisation,français courant,Non spécifié,0
850,technicien qualit fai secteur aronautique tanger maroc,https://www.rekrute.com/,2024-12-16,akkodis maroc,en tant que technicien qualité fai vos activités consistent à contrôler les pièces physiques  créer les first article inspection fai  générer les plans dactions à mener par,1 postes sur tanger et région  maroc,tanger,secteur dactivité  aéronautique  spatial,Non spécifié,cdi,bac 2 minimum  bts  dut,3-5 ans,profil recherché  diplômé dun bac 2 bac3 avec une expérience de 6 mois à 3 ans dans un environnement aéronautique  une première expérience en fai est exigée  bonne maitrise de la langue française  localisation  casablanca nous rejoindre cest évoluer dans les domaines qui vous passionnent développer vos compétences dans un cadre qui favorise les initiatives individuelles  votre rôle sinscrit dans un véritable projet dentreprise,français,initiative,expérience en fai est exigée  bonne maitrise de la langue française  localisation  casablanca compétences dans un cadre qui favorise les initiatives individuelles  votre rôle sinscrit dans un véritable projet dentreprise,français courant,Non spécifié,0
851,ingnieur mthodes dvi casablanca maroc,https://www.rekrute.com/,2024-12-16,akkodis maroc,missions  conçevoir et organiser des méthodes de production conçevoir les gammes de fabrication des produits élaborer les dossiers de validation industriels conçevoir et réaliser des outils de suivi,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  aéronautique  spatial,Non spécifié,cdi,bac 5 et plus minimum,3-5 ans,profil recherché  bac  45 en génie industriel expérience de deux ans ou plus dans une fonction similaire,non spécifié,Non spécifié,Non spécifié,français courant,Non spécifié,0
852,ingnieur process hf casablanca maroc,https://www.rekrute.com/,2024-12-16,akkodis maroc,piloter la réalisation et la mise en place des moyens industriels montage formaliser les cahiers des charges techniques pilote les fournisseurs dans la conception la réalisation et la mise au point des moyens montage piloter,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  automobile  motos  cycles,Non spécifié,cdi,bac 5 et plus minimum,3-5 ans,profil recherché  de formation bac5 en mécanique avec une expérience de 2 dans un poste similaire connaissance en usinage connaissance du logiciel catia v5 et v6,catia,Non spécifié,Non spécifié,français courant,Non spécifié,0
853,ingnieur test automatisation hf casablanca maroc,https://www.rekrute.com/,2024-12-16,akkodis maroc,vos principales missions sont   participation à la conception et au développement de framework dautomatisation des tests à laide doutils  amélioration continue  création et,6 postes sur casablanca et région  maroc,casablanca,secteur dactivité  informatique,Non spécifié,cdi,bac 5 et plus minimum,3-5 ans,profil recherché  de formation bac5 avec une expérience de 5 ans et plus dans lautomatisation des tests avec maitrise des technologies et approches suivantes  robot framework or cypress or selenium  jira  xray  azure devops  end to end tests  animation des 3 amigos  postmannewman  stratégie de tests  tests manuels,robot framework azure,Non spécifié,robot framework selenium jira postman,français courant,Non spécifié,1
854,technicien qualit tanger maroc,https://www.rekrute.com/,2024-12-16,akkodis maroc,en tant que technicienne qualité vous serez en charge de   rédiger et mettre à jour les procédures modes opératoires qualité  participer au suivi des indicateurs permettant de,1 postes sur tanger et région  maroc,tanger,secteur dactivité  aéronautique  spatial,Non spécifié,cdi,bac 2 minimum,3-5 ans,profil recherché  de formation bac  2 vous avez 3 ans dexpérience ou plus dans le secteur aéronautique,non spécifié,Non spécifié,Non spécifié,français courant,Non spécifié,0
855,concepteurs faisceaux ehieha hf tanger maroc,https://www.rekrute.com/,2024-12-16,akkodis maroc,dans le cadre du développement de nos activités auprès de nos clients equipementiers constructeurs et sports automobiles nous recherchons pour notre pôle ingénierie electronique electricité un concepteur,10 postes sur tanger et région  maroc,tanger,secteur dactivité  automobile  motos  cycles  autres industries,Non spécifié,cdi,bac 5 et plus minimum  master,3-5 ans,profil recherché  de formation bac  2 à bac  5 en électrotechnique ou électronique vous justifiez dune première expérience significative en développement et mise au point des faisceaux et pièces associées acquise idéalement chez un constructeur ou un équipementier automobile de plus vous avez une connaissance globale des systèmes électriques des réseaux multiplexés et de la connectique câblage la maîtrise des outils tels catia v5v6 et notamment des modules ehi  eha est un plus non négligeable pour le poste,catia,Non spécifié,maîtrise des outils tels catia v5v6 et notamment des modules ehi  eha est un plus non négligeable pour le poste,français courant,Non spécifié,1
856,product owner casablanca maroc,https://www.rekrute.com/,2024-12-16,leyton,position overview we are actively searching for a dynamic and visionary product owner to spearhead the strategic direction of operational data management initiatives across diverse projects employing cuttingedge technologies the central objective is to,3 postes sur casablanca et région  maroc,casablanca,secteur dactivité  informatique,Non spécifié,cdi,bac 5 et plus minimum  master,3-5 ans,poste  position overview we are actively searching for a dynamic and visionary product owner to spearhead the strategic direction of operational data management initiatives across diverse projects employing cuttingedge technologies the central objective is to translate user requirements into both functional and technical business specifications key accountabilities and responsibilities product strategy develop and communicate a clear product vision strategy and roadmap in alignment with business objectives and market trends stakeholder collaboration collaborate with crossfunctional teams including development design and business units to gather and prioritize product requirements requirements definition work closely with business stakeholders to define detailed and comprehensive user stories ensuring a thorough understanding of feature expectations prioritization establish and maintain a prioritized product backlog based on business value technical complexity and customer impact release planning participate in release planning and sprint reviews ensuring that the development team has a clear understanding of the product backlog items product development support act as a point of contact for the development team providing clarification on requirements and facilitating communication between business and technical teams quality assurance collaborate with qa teams to define acceptance criteria and participate in the testing process to ensure the delivered product meets the specified requirements performance metrics define and monitor key performance indicators kpis to assess the success and effectiveness of the product,assurance kpi,initiative collaboration communication,collaboration collaborate with crossfunctional teams including development design and business units to gather and prioritize product requirements communication between business and technical teams skills bachelors degree in software development computer engineering it project management or related field 5 years of experience in it business analysis fluent in english  french curious honest ambitious and teamoriented likes to challenge and be challenged in return expertise with an attractive salary and flexible working hours worklife balance numerous social benefits startup spirit in a fastgrowing multinational group career growth opportunities diversification of projects continuous learning environment teambuildings health and fun partnerships,english courant french courant,Non spécifié,1
857,senior data scientist casablanca maroc,https://www.rekrute.com/,2024-12-16,leyton,main responsibilities  support for the realization of various data science projects and participation in the success of our customers in many sectors of activity health industries communications financial services etc  frame and,casablanca et région  maroc,casablanca,secteur dactivité  informatique  internet  multimédia,Non spécifié,cdi,bac 5 et plus minimum  master,3-5 ans,poste  main responsibilities  support for the realization of various data science projects and participation in the success of our customers in many sectors of activity health industries communications financial services etc  frame and formalize the clients needs expressed or not  seek the most appropriate scientific approach to the problem  participate in the automatic extraction and management of massive data structured or not  perform statistical analyzes and transform data  build predictive models and evaluate their performance  contribute to the production of algorithms to the industrialization of developments  restore and enhance its results with data visualization tools  participation in the animation of the collaborators domain events presentations etc and in the development strategy of the team  identify the needs and the problems of the business departments  define a statistical model which makes it possible to answer the problem  build analysis tools to collect company data  source and gather all the sources of structured or unstructured data necessary for the analysis  organize study and synthesize these data sources in the form of exploitable results  construction of algorithms to improve search and targeting results  development of predictive models in order to anticipate the evolution of data and trends relating to the companys activity  model behaviors and extract new user uses  contribute to the production of algorithms to the industrialization of developments  be responsible for the solutions delivered and their compliance with customer expectations  contribute to technological watch on data science and big data subjects and supervise less experienced employees juniors and interns,big data less machine learning machine learning tensorflow python spark java,communication initiative,communications financial services etc experience in the same position skills  knowledge of statistics and machine learning ability to produce supervised and unsupervised models ability to analyze and extract insights from structured indepth knowledge of sql and unstructured data python java skills  intellectual curiosity initiative proactivity skills facilitator communication skills,english courant french courant,Non spécifié,1
858,senior cyber security engineer casablanca maroc,https://www.rekrute.com/,2024-12-16,leyton,analyse de risques  évaluer les risques de sécurité informatique et mettre en place des stratégies de mitigation surveillance  surveiller les systèmes pour détecter les activités suspectes et les,casablanca et région  maroc,casablanca,secteur dactivité  informatique,Non spécifié,cdi,bac 5 et plus minimum  doctorat  dea  ecole dingénieur,3-5 ans,poste  analyse de risques  évaluer les risques de sécurité informatique et mettre en place des stratégies de mitigation surveillance  surveiller les systèmes pour détecter les activités suspectes et les violations de sécurité gestion des incidents  répondre rapidement aux incidents de sécurité enquêter sur les causes et prendre des mesures correctives développement de politiques de sécurité  établir et mettre à jour les politiques et les procédures de sécurité tests de sécurité  réaliser des tests de pénétration et des audits de sécurité pour identifier les vulnérabilités formation  sensibiliser et former les employés aux bonnes pratiques de sécurité informatique mise à jour et maintenance  assurer la mise à jour régulière des systèmes de sécurité et des logiciels de protection documentation  documenter les procédures de sécurité les incidents et les mesures prises,sécurité informatique audit sécurité informatique python java,communication esprit danalyse capacité danalyse résolution de problèmes communication,analyse de risques  évaluer les risques de sécurité informatique et mettre en place des stratégies de mitigation compétences requises  connaissance en sécurité informatique  maîtrise des concepts et des technologies de sécurité compétences en réseaux  connaissances des réseaux informatiques et des protocoles de communication analyse de risques  capacité à identifier et à évaluer les risques de sécurité expérience en gestion des incidents de sécurité et en réponse aux menaces connaissances législatives  connaissance des réglementations et des normes en matière de sécurité informatique iso 27001 rgpd etc compétences en programmation  maîtrise de langages de programmation python java pour le développement doutils de sécurité et lautomatisation des tâches connaissance des outils zap owasp nessus nmap aquatrivy analyse  excellente capacité danalyse et de résolution de problèmes communication et esprit déquipes expérience en sécurité informatique ou dans un rôle similaire,français courant,Non spécifié,1
859,senior big data engineer casablanca maroc,https://www.rekrute.com/,2024-12-16,leyton,main responsibilities design and implement infrastructure for managing the companys data in alignment with various business challenges develop and manage data flows including ingestion modeling warehousing and,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  informatique,Non spécifié,cdi,bac 5 et plus,3-5 ans,poste  main responsibilities design and implement infrastructure for managing the companys data in alignment with various business challenges develop and manage data flows including ingestion modeling warehousing and cleaning using big data technologies analyze source systems to define optimal data management strategies from collection to analysis collaborate with crossfunctional teams to integrate big data solutions with existing systems optimize and maintain big data platforms for performance reliability and scalability develop and enforce data governance policies to ensure data quality and security create and maintain documentation related to data architecture processes and workflows conduct performance tuning and troubleshooting to resolve datarelated issues develop data visualizations and reports to support business decisionmaking lead and participate in code reviews to ensure code quality and best practices,big data scala python spark kafka elasticsearch mongodb docker angular react,initiative collaboration,force data governance policies to ensure data quality and security expertise in one or more big data technologies experience in a similar role proficiency in understanding complex data processing algorithms and mechanisms skills  experience in python and sql spark airflow kafka rabbitmq elasticsearch and the elk suite mongodb neo4j docker and frontend frameworks like angular react or vue skills and the ability to work autonomously skills and the ability to facilitate team collaboration expertise and contribute to innovative projects in a dynamic and supportive environment,français courant,Non spécifié,1
860,agent en back office francophone casablanca maroc,https://www.rekrute.com/,2024-12-16,manpower agences,nous recherchons pour le compte de lun de nos partenaires un agent en back office hf à casablanca qui aura comme principales missions  enregistrement des marchands agents et partenaires prise en charge des réclamations,10 postes sur casablanca et région  maroc,casablanca,secteur dactivité  centre dappel,Non spécifié,autre,bac 3 minimum,3-5 ans,profil recherché  la personne devra avoir les aptitudes suivantes   adaptabilité et flexibilité  esprit déquipe  réactivité organisation et rigueur les connaissances requises et indispensables sont les suivantes   outils bureautiques microsoft office outlook teams excel  langue française parfaitement fluide écritoral  compréhension car il y aura beaucoup dinteractions avec les équipes sur le terrain et les clients,outlook français,adaptabilité flexibilité esprit déquipe organisation rigueur,organisation et rigueur les connaissances requises et indispensables sont les suivantes   outils bureautiques microsoft office outlook teams excel  langue française parfaitement fluide écritoral  compréhension car il y aura beaucoup dinteractions avec les équipes sur le terrain et les clients,français courant,Non spécifié,0
861,htesse daccueil francoanglophonehtel casablanca maroc,https://www.rekrute.com/,2024-12-16,manpower agences,nous recherchons pour un hôtel de luxe situé à casablanca un hôtesse daccueil francoanglophone en contrat dintérim missions principales   accueillir renseigner et orienter les visiteurs  accompagner les,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  hôtellerie  restauration,Non spécifié,intérim,bac 2 minimum  formation spécialisée,3-5 ans,profil recherché   titulaire dun diplôme en hôtellerie ou métier daccueil  expérience réussie de 2 ans et plus en tant quhôtesse daccueil  bonne maitrise du français et de langlais  salaire net  4500 dh  contrat  intérim  ville  casablanca,français anglais,Non spécifié,Non spécifié,anglais courant français courant,Non spécifié,0
862,acheteur casablanca maroc,https://www.rekrute.com/,2024-12-16,manpower agences,pour le compte dune société industrielle leader du secteur du câble nous sommes à la recherché dune acheteurse sur casablanca gestionnaire sous traitance etablir et transmettre les bons de commande de,1 postes sur casablanca et région  maroc,casablanca,secteur dactivité  autres industries,Non spécifié,autre,bac 2 minimum,0-1 ans,profil recherché  formation de bac23 en achat logistique expérience stage inclus,logistique,Non spécifié,Non spécifié,français courant,Non spécifié,0
