id,titre,site_name,date_publication,nom_entreprise,description_poste,region,ville,secteur_activite,metier,type_contrat,niveau_etudes,experience,profil_recherche,hard_skills,soft_skills,competences_recommandees,langue,salaire,teletravail,type_contrat_encoded,langue_encoded
805,Chef de projet Cyber Sécurité  Rabat Maroc,https://www.rekrute.com/,2024-12-18,Orange Business,about the role En tant que chef de projet vous serez amené à assurer Pilotage des projets de construction ou dévolution dinfrastructures Suivi  contrôle Accompagnement et rôle de,1 postes sur Rabat et région  Maroc,Rabat,Secteur dactivité  Informatique,Non spécifié,CDI,Bac 5 et plus Minimum  Ecole dingénieur,De 5 à 10 ans,Profil recherché  about you Vous êtes de formation Bac 5 en Informatique et vous justifiez dune expérience significative de minimum 8 ans dans la gestion des projets Cyber sécurité Compétences Connaitre les infrastructures et technologies IT serveurs stockage réseau sécurité Connaître les méthodes de conduite dactivité et de projet  classiques  objectifs de coûts qualité et délais négociation des moyens évaluation des risques reporting communication  Avoir des connaissances techniques pour comprendre et analyser un dossier darchitecture technique sur des projets dinfrastructures Gestion des risques et des alertes Connaître les plans de management et de qualité Connaissance générale dITIL Maîtrise des outils bureautique Word Excel et outils de gestion de projet et autres à appréhender Certification ITIL Prince 2 PMP est un plus Qualités requises Appétence technique Infrastructure Sens du contacte et de communication Capacité dadaptation Dynamisme et esprit de travail en équipe,Cyber sécurité qualité reporting Gestion des risques Word Qualité,négociation communication travail en équipe,Compétences Connaitre les infrastructures et technologies IT serveurs stockage réseau sécurité Connaître les méthodes de conduite dactivité et de projet  classiques  objectifs de coûts qualité et délais négociation des moyens évaluation des risques reporting communication  Avoir des connaissances techniques pour comprendre et analyser un dossier darchitecture technique sur des projets dinfrastructures Gestion des risques et des alertes Connaître les plans de management et de qualité Connaissance générale dITIL Maîtrise des outils bureautique Word Excel et outils de gestion de projet et autres à appréhender Certification ITIL Prince 2 PMP est un plus communication Capacité dadaptation Dynamisme et esprit de travail en équipe,Français Courant,Non spécifié,1,0,-1
806,Consultant Cyber sécurité  Rabat Maroc,https://www.rekrute.com/,2024-12-18,Orange Business,about the role Vous intégrez léquipe Conseil  Audit dOrange Cyberdéfense au Maroc en qualité de Consultant Senior afin daccompagner nos clients dans la sécurisation de leur SI notamment,1 postes sur Rabat et région  Maroc,Rabat,Secteur dactivité  Informatique,Non spécifié,CDI,Bac 5 et plus Minimum  Ecole dingénieur,De 5 à 10 ans,Profil recherché  about you Vous êtes diplômée dun Bac5 dune Ecole dIngénieur ou dune Université dans le domaine de la Sécurité des Systèmes dInformation et vous disposez de 6 à 9 ans dexpériences dans le domaine de lIT ou de la cybersécurité ou de laudit SI Vous disposez dune des certifications suivantes  ISO 27001 ISO27005 CISA CISSP OSCP OSEP OSCE GPEN Vous avez des connaissances sur nos domaines dactivité  Vous avez lesprit déquipe vous faites preuve dinitiative vous avez un bon relationnel et le sens des responsabilités  Vous avez déjà géré plusieurs projets de niveaux de complexité différents et êtes capable dencadrer opérationnellement dautres consultants  Vous vous exprimez aussi bien à loral quà lécrit en français et êtes capables de travailler en anglais  Postulez,audit français anglais,esprit déquipe initiative relationnel sens des responsabilités,connaissances sur nos domaines dactivité  Vous avez lesprit déquipe vous faites preuve dinitiative vous avez un bon relationnel et le sens des responsabilités  Vous avez déjà géré plusieurs projets de niveaux de complexité différents et êtes capable dencadrer opérationnellement dautres consultants  Vous vous exprimez aussi bien à loral quà lécrit en français et êtes capables de travailler en anglais  Postulez,français Courant anglais Courant,Non spécifié,1,0,-1
807,Comptable Junior HF  Casablanca Maroc,https://www.rekrute.com/,2024-12-18,PwC,Dans le cadre du développement de ses activités PwC Business Services recherche des collaborateurs Comptables Juniors HF à Casablanca Missions  Au sein dune équipe dédiée vous travaillerez,1 postes sur Casablanca et région  Maroc,Casablanca,Secteur dactivité  Comptabilité  Audit,Non spécifié,CDD,Bac 5 et plus Minimum  Master,Débutant,Profil recherché   Formation comptable Bac5  Vous êtes débutant ou vous disposez dune expérience de moins de 1 an acquise en cabinet dexpertise comptable ou en direction financière  Maîtrise souhaitée de SAP et de Microsoft Office Excel PowerPoint   Esprit déquipe écoute ouverture desprit rigueur  Dynamisme autonomie fortes facultés dadaptation  communication  Esprit de synthèse proactivité sens de lorganisation  Aisance relationnelle,SAP PowerPoint,écoute rigueur autonomie communication synthèse proactivité organisation Aisance relationnelle,expertise comptable ou en direction financière  Maîtrise souhaitée de SAP et de Microsoft Office Excel PowerPoint   Esprit déquipe écoute ouverture desprit rigueur  Dynamisme autonomie fortes facultés dadaptation  communication  Esprit de synthèse proactivité sens de lorganisation  Aisance relationnelle,Français Courant,Non spécifié,0,1,-1
808,Technical Lead  HF  Rabat Maroc,https://www.rekrute.com/,2024-12-18,Sorec,Vous avez lambition de rejoindre une équipe dynamique et innovante  Découvrez lopportunité de faire briller votre talent dans un environnement où chaque idée compte et où vous pouvez réellement,1 postes sur Rabat et région  Maroc,Rabat,Secteur dactivité  Informatique,Non spécifié,CDI,Bac 5 et plus Minimum  Ecole dingénieur,De 5 à 10 ans,Profil recherché  Profil  En tant que candidat potentiel  Vous avez un diplôme dingénieur dans le système dinformation avec 8 à 10 ans dexpérience dans le développement avec la technologie de référence Compétences requises   Maitrise des technologies de développement particulièrement en JAVAJEE  Aptitude de gestion des projets et priorités  Capacité de mener une veille technologique et sécurité de linformation  Capacité à gérer les situations durgence  Sens de curiosité et dautonomie  Sens dengagement de collaboration et de la confidentialité  Sens du détail de lanalyse et de la précision  Bonnes capacités de communication et esprit déquipe,JAVA,veille technologique curiosité autonomie collaboration communication,Compétences requises   Maitrise des technologies de développement particulièrement en JAVAJEE Capacité à gérer les situations durgence curiosité et dautonomie collaboration et de la confidentialité analyse et de la précision communication et esprit déquipe,Français Courant,Non spécifié,0,0,-1
809,Lead Développement Fournisseurs  Agadir Maroc,https://www.rekrute.com/,2024-12-18,Groupe AZURA,Rejoignez notre équipe dynamique en tant que Lead Développement Fournisseurs au sein de notre Direction Achats Groupe  Basé aux Environs de la ville dAgadir Votre mission principale consistera à assurer dans le cadre des,Agadir et région  Maroc,Agadir,Secteur dactivité  Agroalimentaire  Autres services,Non spécifié,CDI,Bac 5 et plus Minimum  Master,De 5 à 10 ans,Profil recherché  Pour réussir dans ce poste vous devez détenir au minimum un diplôme de niveau Bac 5 et plus avec une spécialisation en Achats  Supply Chain ou Production  Qualité  Sécurité  Maintenance Une formation complémentaire en management des achats serait un atout certain Une expérience professionnelle de plus de 7 ans minimum dans un poste similaire est requise Vous avez démontré vos compétences en gestion des fournisseurs négociation et en management de projets Votre connaissance approfondie des processus dachat et votre capacité à gérer des relations avec des fournisseurs internationaux seront déterminantes pour réussir Vous possédez de solides compétences en négociation gestion de projets et management déquipe Vous êtes rigoureux organisé et capable de travailler en autonomie Vous maîtrisez les outils informatiques pack office ERP Maitrise des dispositifs de développement fournisseurs Bonne connaissance des processus et des flux P2P Solide culture de la qualité et du RSE Maitrise des dispositifs dévaluation fournisseur sur les aspects économiques et logistiques Expérience en management de fournisseurs Capacité danalyse et de résolution de problèmes Excellentes aptitudes relationnelles et communicationnelles Maîtrise du français et de langlais un atout Si vous vous reconnaissez dans ce profil et que vous souhaitez intégrer une entreprise en pleine croissance nhésitez pas à postuler,Supply Chain Qualité gestion des fournisseurs qualité logistique français anglais,négociation autonomie Capacité danalyse résolution de problèmes relationnel communication,compétences en gestion des fournisseurs négociation et en management de projets capacité à gérer des relations avec des fournisseurs internationaux seront déterminantes pour réussir compétences en négociation gestion de projets et management déquipe maîtrisez les outils informatiques pack office ERP connaissance des processus et des flux P2P Solide culture de la qualité et du RSE Maitrise des dispositifs dévaluation fournisseur sur les aspects économiques et logistiques Expérience en management de fournisseurs Capacité danalyse et de résolution de problèmes Excellentes aptitudes relationnelles et communicationnelles Maîtrise du français et de langlais un atout Si vous vous reconnaissez dans ce profil et que vous souhaitez intégrer une entreprise en pleine croissance nhésitez pas à postuler,français Courant anglais Courant,Non spécifié,0,0,-1
810,Consultant Senior en Excellence Opérationnelle et Performance Industrielle  Logistique  CASABLANCA Maroc,https://www.rekrute.com/,2024-12-17,Teamania Consulting,Intégrez une entreprise dynamique du secteur Conseiltudes à CASABLANCA en tant que Consultant Senior en Excellence Opérationnelle Performance Industrielle et Logistique Votre mission principale consistera à accompagner,1 postes sur Casablanca et région  Maroc,CASABLANCA,Secteur dactivité  Conseil  Etudes,Non spécifié,CDI,Bac 5 et plus Minimum  Ecole dingénieur Poste avec Management,De 5 à 10 ans,Profil recherché  Le candidat idéal doit être titulaire dun Bac 5 ou plus avec une spécialisation en AchatsSupply Chain ou AuditConseil Une expérience de 5 à 10 ans dans le domaine de lexcellence opérationnelle de la performance industrielle et de la logistique est requise Compétences requises  forte capacité danalyse et de résolution de problèmes excellente communication orale et écrite maîtrise des outils damélioration continue Lean Six Sigma connaissance des processus industriels et logistiques Si ce poste correspond à vos aspirations et que vous pensez que votre profil correspond aux exigences nhésitez pas à postuler au plus vite en utilisant le bouton  Envoyer mon CV au recruteur,Supply Chain Audit logistique,capacité danalyse résolution de problèmes communication,Compétences requises  forte capacité danalyse et de résolution de problèmes excellente communication orale et écrite maîtrise des outils damélioration continue Lean Six Sigma connaissance des processus industriels et logistiques,Français Courant,Non spécifié,0,0,-1
811,Airport Team Leader Manager  Agadir Maroc,https://www.rekrute.com/,2024-12-17,Jet2holidays,As one of our valued Airport Team Leaders you will play a vital part in leading a team of Airport Customer Helpers who are responsible for delivering outstanding customer service and enhancing our customers holiday experience as they pass through the,1 postes sur Marrakech et région  Maroc,Agadir,Secteur dactivité  Hôtellerie  Restauration  Tourisme  Voyage  Loisirs,Non spécifié,CDD,Bac Minimum Poste avec Management,De 1 à 3 ans,Profil recherché  You will already hold full right to work documents for Morocco and be living in the destination or willing to source your own accommodation You will also already be a driver with access to your own vehicle which you are able to use for work purposes Travel expenses will be reimbursed Our Airport Team Leaders have a flexible approach to the operation Working hours will vary each month and will include early starts late finishes split shifts  working weekends As part of our management team being on call to support with any disruption is part of the role Our Airport Team Leaders have a genuine passion for the airport experience and always ensure their team of Airport Customer Helpers deliver outstanding customer service In this position you will be confident with managing performance possess an ability to deliver under pressure supporting your team have a positive  friendly attitude be flexible well organised and confident in IT to use inhouse digital systems daily on a laptop What can we offer you We offer our valued colleagues a range of benefits including Fully paid management training company mobile phone  laptop provided Free Jet2holidays Management uniform Monthly 11 review meetings with the Destination Manager Career progression  development across Jet2com  Jet2holidays Recommend a friend bonus scheme,access,Non spécifié,ability to deliver under pressure supporting your team have a positive  friendly attitude be flexible well organised and confident in IT to use inhouse digital systems daily on a laptop,Français Courant,Non spécifié,0,1,-1
812,Chef De Mission Audit  Casablanca Maroc,https://www.rekrute.com/,2024-12-17,Non spécifié,Supervision et coordination des missions daudit Planification et réalisation des travaux daudit dans le respect des normes et des délais Encadrement et formation des collaborateurs juniors tablissement,3 postes sur Casablanca et région  Maroc,Casablanca,Secteur dactivité  Comptabilité  Audit,Non spécifié,CDI,Bac 5 et plus Minimum  Master  Ecole de commerce Poste avec Management,De 3 à 5 ans,Profil recherché  Diplôme Bac5 en Audit ou équivalent Expérience de 4 à 5 ans dans un cabinet daudit de renom Maîtrise des normes comptables et des techniques daudit Capacité à encadrer une équipe et à gérer plusieurs dossiers simultanément Excellentes compétences en communication et en relations clients,Audit audit,communication Organisation Flexibilité,Maîtrise des normes comptables et des techniques daudit Capacité à encadrer une équipe et à gérer plusieurs dossiers simultanément Excellentes compétences en communication et en relations clients Organisation Besoin de réflexion Flexibilité Rationalisme,Français Courant,Non spécifié,0,0,-1
813,Conseiller Commercial  Tout le Maroc Maroc,https://www.rekrute.com/,2024-12-17,Groupe Addoha,Rattaché au Responsable Commercial Régional vous serez amené à   Conseiller et accompagner les clients durant le processus dachat  Assurer le service après vente aux clients  Assurer un,Tout le Maroc  Maroc,Tout le Maroc,Secteur dactivité  Immobilier  Promoteur  Agence,Non spécifié,CDI,Bac 3 Minimum  Ecole de commerce  BTS  DUT,De 3 à 5 ans,Poste  Rattaché au Responsable Commercial Régional vous serez amené à   Conseiller et accompagner les clients durant le processus dachat  Assurer le service après vente aux clients  Assurer un reporting régulier  Effectuer une prospection assidue du secteur  Développer et fidéliser le portefeuille clients  Identifier les évolutions du marché et les nouvelles cibles commerciales à prospecter,reporting,relationnel,maîtrisez les techniques de ventes et la gestion financière des dossiers de crédit immobilier   Vous avez dexcellentes capacités relationnelles   Bon communicant persuasif intègre vous avez un goût prononcé pour la vente et la réalisation dobjectifs commerciaux de taille   Une expérience en vente directe est un atout Secteur  Automobile  Immobilier,Français Courant,Non spécifié,0,0,-1
814,Animateur de vente en magasin  Tanger Maroc,https://www.rekrute.com/,2024-12-17,Ariston Maroc,Lanimateur de vente est responsable de promouvoir les produits de lentreprise en magasin et de maximiser les ventes Son rôle consiste à attirer lattention des clients présenter les produits offrir des,1 postes sur Tanger et région  Maroc,Tanger,Secteur dactivité  Distribution,Non spécifié,Intérim,Bac 2 Minimum,Moins de 1 an De 1 à 3 ans,Profil recherché   Expérience en vente ou en animation de produits de 2 ans minimum  Niveau de formation  Bac2 ou équivalent avec une orientation en commerce  Bonne communication aisance en public,Non spécifié,communication,Expérience en vente ou en animation de produits de 2 ans minimum communication aisance en public,Français Courant,Non spécifié,0,-1,-1
815,Technicien de Laboratoire  Benguerir Maroc,https://www.rekrute.com/,2024-12-17,UM6P  Université Mohammed VI Polytechnique,The African Genome Center at UM6P is seeking a Laboratory Technician in Plant Biotechnology to work with the Genome Editing team ResponsibilitiesThe successful candidate will be responsible for duties including but not limited to ordering reagents and,1 postes sur Marrakech et région  Maroc,Benguerir,Secteur dactivité  Enseignement  Formation,Non spécifié,CDD,Bac 5 et plus Minimum,De 1 à 3 ans,Poste  The African Genome Center at UM6P is seeking a Laboratory Technician in Plant Biotechnology to work with the Genome Editing team Responsibilities The successful candidate will be responsible for duties including but not limited to ordering reagents and materials and following up with the procurement team for their prompt delivery oversee the daytoday running of the Lab growing plants maintaining plants in the growth chamber and greenhouse extracting nucleic acids and plasmids performing DNA sequencing helping in the different lab activities assisting with projects in the genome editing Lab and other duties as assigned In addition the candidate is expected to maintain accurate and detailed records of all research activities collaborate with team members to analyze and interpret experimental data and stay up to date with the latest developments in the field of genome editing and biotechnology,iot procurement,communication,culture and transformation molecular biology techniques such as gene cloning and nucleic acid extraction problemsolving communication skills both written and verbal Arabic English and French Experience with computer programming and data analysis software,English Courant Arabic Courant French Courant,Non spécifié,0,1,-1
816,Medecin Géneraliste  Benguerir Maroc,https://www.rekrute.com/,2024-12-17,UM6P  Université Mohammed VI Polytechnique,Dans le cadre du développement de ses équipes le département de santé au travail et santé estudiantine de lUniversité Mohammed VI Polytechnique lance un appel à candidature pour le recrutement dun poste de Médecin de Travail rattaché au Health,1 postes sur Marrakech et région  Maroc,Benguerir,Secteur dactivité  Enseignement  Formation,Non spécifié,CDI,Bac 5 et plus Minimum,De 3 à 5 ans,Poste  Dans le cadre du développement de ses équipes le département de santé au travail et santé estudiantine de lUniversité Mohammed VI Polytechnique lance un appel à candidature pour le recrutement dun poste de Médecin de Travail rattaché au Health center RESPONSABILITES  Rattaché au département Health Center vous serez amené à effectuer les tâches suivantes  Diagnostic et évaluation Assurer les visites médicales obligatoiresembauchepériodiquede repriseet facultatives demandées par le salariémédecin traitantpar lemployeur Assurer une surveillance médicale renforcée Analyser la situation des personnes nécessitant un traitement particulier difficultés professionnelles en lien avec létat de santé aménagement du poste de travail accidents de service maladies professionnelles Proposer et mettre en uvre des actions et des projets de la direction liés à la santé au travail Mener des actions sur uvre sur le milieu professionnel dans le but daméliorer la santé physique et mentale au travail Actions sur le milieu de travail Assurer lamélioration des conditions de travail la gestion des règles dhygiène générale des locaux ladaptation des postes des rythmes de travail,Non spécifié,Non spécifié,Analyser la situation des personnes nécessitant un traitement particulier difficultés professionnelles en lien avec létat de santé aménagement du poste de travail accidents de service maladies professionnelles Proposer et mettre en uvre des actions et des projets de la direction liés à la santé au travail,Français Courant,Non spécifié,0,0,-1
817,Formateurs  Benguerir Maroc,https://www.rekrute.com/,2024-12-17,UM6P  Université Mohammed VI Polytechnique,MISSIONS PRINCIPALES Animation des formations Concevoir et animer des sessions de formation pour divers publics opérateurs cadres dirigeants Développement de supports pédagogiques  laboration de contenus sur mesure conformes aux normes et standards,1 postes sur Marrakech et région  Maroc,Benguerir,Secteur dactivité  Enseignement  Formation,Non spécifié,CDI,Bac 5 et plus Minimum,De 5 à 10 ans,Poste  MISSIONS PRINCIPALES Animation des formations Concevoir et animer des sessions de formation pour divers publics opérateurs cadres dirigeants Développement de supports pédagogiques  laboration de contenus sur mesure conformes aux normes et standards internationaux Expertise technique Conseil aux entreprises partenaires pour la mise en conformité avec les réglementations locales et internationales Veille réglementaire et technologique  Suivi des évolutions législatives normatives et technologiques valuation des compétences  laboration et utilisation doutils dévaluation pour mesurer limpact des formations Participation au développement des programmes  Contribuer à lamélioration continue des offres de formation de lentité PROFIL RECHERCHQualifications  Diplôme dingénieur Bac5 en HSE Génie industriel Génie des procédés ou domaine connexe Certifications professionnelles en HSE fortement appréciées NEBOSH ISO 45001 Lead Auditor etc Expérience  Minimum 5 ans dexpérience significative en HSE dans des secteurs industriels à haut risque minier chimique énergie construction Expérience confirmée en animation de formations professionnelles fortement appréciée COMPTENCES TECHNIQUES1 Réglementations et normes HSE Expertise en ISO 45001 ISO 14001 OSHA et autres standards internationaux Maîtrise des réglementations marocaines et internationales applicables à la santé sécurité et environnement Connaissance des règles spécifiques aux secteurs industriels à haut risque ATEX gestion des zones dangereuses 2 Gestion des risques professionnels Conduite danalyses de risques AMDEC HAZOP 5M laboration et mise en uvre de plans de prévention 3 Prévention et sécurité industrielle Connaissance approfondie des systèmes de gestion des incidents RCA arbre des causes Conception et animation de scénarios durgence  incendies évacuations risques chimiques Expertise en équipements de mesure et surveillance  détecteurs de gaz dosimètres analyseurs de bruit 4 Santé au travail Connaissance des principes dergonomie industrielle et prévention des risques psychosociaux Collaboration avec les médecins du travail pour suivre les protocoles de santé 5 Techniques pédagogiques Utilisation de technologies immersives VRAR pour des simulations pratiques Capacité à sadapter à différents profils de participants opérateurs cadres dirigeants,conformité Audit Gestion des risques,Collaboration relationnel Rigueur autonomie Adaptabilité organisation,Expertise technique Conseil aux entreprises partenaires pour la mise en conformité avec les réglementations locales et internationales compétences  laboration et utilisation doutils dévaluation pour mesurer limpact des formations Expertise en ISO 45001 ISO 14001 OSHA et autres standards internationaux Maîtrise des réglementations marocaines et internationales applicables à la santé sécurité et environnement Connaissance des règles spécifiques aux secteurs industriels à haut risque ATEX gestion des zones dangereuses analyses de risques AMDEC HAZOP 5M Expertise en équipements de mesure et surveillance  détecteurs de gaz dosimètres analyseurs de bruit Connaissance des principes dergonomie industrielle et prévention des risques psychosociaux Collaboration avec les médecins du travail pour suivre les protocoles de santé Capacité à sadapter à différents profils de participants opérateurs cadres dirigeants compétences pédagogiques et relationnelles Rigueur esprit analytique et autonomie capacité à travailler avec des équipes multidisciplinaires organisation et respect des deadlines,Français Courant,Non spécifié,0,0,-1
818,Chef de projet industrialisation  Nouaceur Maroc,https://www.rekrute.com/,2024-12-17,Safran Nacelles,Envolezvous avec nous  Une opportunité unique vous attend au cur de lindustrie aéronautique et spatiale à Nouaceur Maroc Intégrez une entreprise dynamique et innovante en tant que Chef de projet,1 postes sur Casablanca et région  Maroc,Nouaceur,Secteur dactivité  Aéronautique  Spatial,Non spécifié,CDI,Bac 5 et plus Minimum  Ecole dingénieur,De 5 à 10 ans,Profil recherché  Nous recherchons un candidat titulaire dun diplôme Bac 5 ou plus spécialisé en Méthodes  Process  Industrialisation Votre formation vous a permis dacquérir des compétences solides en gestion de projet en Lean Manufacturing et en amélioration continue Une expérience significative de 5 à 10 ans dans un poste similaire au sein de lindustrie aéronautique ou spatiale est indispensable Vous avez une expertise avérée en gestion de projet dindustrialisation et une connaissance approfondie des processus de fabrication Vous êtes reconnu pour votre leadership votre rigueur votre sens de lorganisation et votre capacité à travailler en équipe Vous êtes force de proposition et avez un excellent sens de la communication Une maîtrise des outils informatiques de gestion de projet est essentielle Si vous correspondez à ce profil et que ce challenge vous intéresse envoyeznous votre candidature en cliquant sur le bouton  Envoyer mon CV au recruteur,Non spécifié,leadership rigueur organisation communication,compétences solides en gestion de projet en Lean Manufacturing et en amélioration continue expertise avérée en gestion de projet dindustrialisation et une connaissance approfondie des processus de fabrication leadership rigueur votre sens de lorganisation et votre capacité à travailler en équipe force de proposition et avez un excellent sens de la communication maîtrise des outils informatiques de gestion de projet est essentielle,Français Courant,Non spécifié,0,0,-1
819,Chargé méthodes outillage  Nouaceur Maroc,https://www.rekrute.com/,2024-12-17,Safran Nacelles,Envolezvous avec nous  Au sein dune entreprise phare du secteur Aéronautique  Spatial une opportunité unique vous attend à Nouaceur Nous sommes à la recherche dun Chargé méthodes outillage,1 postes sur Casablanca et région  Maroc,Nouaceur,Secteur dactivité  Aéronautique  Spatial,Non spécifié,CDI,Bac 5 et plus Minimum,De 3 à 5 ans,Profil recherché  Le profil idéal pour ce poste est un candidat titulaire dun diplôme Bac 5 et plus avec une spécialisation en Méthodes  Process  Industrialisation Vos connaissances approfondies dans ces domaines constitueront un atout majeur pour votre réussite dans ce rôle Une expérience significative de 3 à 5 ans dans un environnement similaire est indispensable Vous devez maîtriser les outils et les techniques du secteur Aéronautique  Spatial Votre capacité à gérer des projets et à travailler en équipe sera également fortement appréciée Outre vos compétences techniques vous faites preuve dun excellent sens de lorganisation dune grande rigueur et dune capacité à travailler de manière autonome Votre esprit déquipe votre proactivité et votre sens de linitiative seront des atouts supplémentaires pour réussir dans ce poste Si ce poste stimulant au sein dune entreprise dynamique et innovante vous intéresse et que vous pensez que votre profil correspond aux exigences décrites nhésitez pas à postuler au plus vite en utilisant le bouton  Envoyer mon CV au recruteur  cidessous  Arabe français et Anglais   Bonne connaissance en dessin industriel   Bonne connaissance des basiques en mécanique   Conception des pièces Industrialisation nouveaux produits  Lecture des plans et la Rédaction de la documentation technique   Logiciels  Pack Office CatiaV5 SAP   Management transversalManagement de projet   Analyse et synthèseCommunicationEsprit dinitiative,Arabe français Anglais Catia SAP,organisation rigueur esprit déquipe proactivité initiative synthèse Communication,connaissances approfondies dans ces domaines constitueront un atout majeur pour votre réussite dans ce rôle maîtriser les outils et les techniques du secteur Aéronautique  Spatial capacité à gérer des projets et à travailler en équipe sera également fortement appréciée compétences techniques vous faites preuve dun excellent sens de lorganisation dune grande rigueur et dune capacité à travailler de manière autonome proactivité et votre sens de linitiative seront des atouts supplémentaires pour réussir dans ce poste connaissance des basiques en mécanique   Conception des pièces Industrialisation nouveaux produits  Lecture des plans et la Rédaction de la documentation technique   Logiciels  Pack Office CatiaV5 SAP   Management transversalManagement de projet   Analyse et synthèseCommunicationEsprit dinitiative,français Courant Anglais Courant Arabe Courant,Non spécifié,0,0,-1
820,Inspecteur Mur Qualité  Nouaceur Maroc,https://www.rekrute.com/,2024-12-17,Safran Nacelles,Rejoignez une entreprise dynamique et innovante au cur de lindustrie AéronautiqueSpatial Située à Nouaceur notre société est un acteur majeur dans son domaine En tant quInspecteur Mur Qualité,1 postes sur Casablanca et région  Maroc,Nouaceur,Secteur dactivité  Aéronautique  Spatial,Non spécifié,CDI,Bac 3 Minimum,De 3 à 5 ans,Profil recherché  Pour ce poste une formation de niveau Bac 3 minimum est requise avec une spécialisation en ProductionQualitéSécuritéMaintenance Une expérience professionnelle de 3 à 5 ans dans un poste similaire idéalement dans le secteur AéronautiqueSpatial est fortement souhaitée Une connaissance approfondie des normes et réglementations du secteur est indispensable Le candidat idéal devra posséder les compétences suivantes  Rigueur précision et sens de lobservation Maîtrise des outils de contrôle qualité Capacité danalyse et de résolution de problèmes Aptitude à travailler en équipe et à communiquer efficacement Connaissance des normes de qualité du secteur AéronautiqueSpatial Si ce poste vous intéresse et que vous pensez que votre profil correspond aux exigences décrites nhésitez pas à postuler au plus vite en utilisant le bouton  Envoyer mon CV au recruteur,Qualité qualité,Rigueur Capacité danalyse résolution de problèmes,compétences suivantes  Rigueur précision et sens de lobservation Maîtrise des outils de contrôle qualité Capacité danalyse et de résolution de problèmes Aptitude à travailler en équipe et à communiquer efficacement Connaissance des normes de qualité du secteur AéronautiqueSpatial Si ce poste vous intéresse et que vous pensez que votre profil correspond aux exigences décrites nhésitez pas à postuler au plus vite en utilisant le bouton  Envoyer mon CV au recruteur,Français Courant,Non spécifié,0,0,-1
821,Chef de Projet Organisation et Qualité HF  Casablanca Maroc,https://www.rekrute.com/,2024-12-17,AtlantaSanad,Nous sommes une entreprise leader dans le secteur de lAssuranceCourtage basée à Casablanca au Maroc En tant que Chef de Projet Organisation et Qualité HF vous ferez partie dune équipe dynamique et innovante,1 postes sur Casablanca et région  Maroc,Casablanca,Secteur dactivité  Assurance  Courtage  Banque  Finance,Non spécifié,CDI,Bac 5 et plus Minimum  Master  Ecole dingénieur,De 1 à 3 ans De 3 à 5 ans,Profil recherché  Le candidat idéal devra posséder un niveau déducation minimum de Bac 5 avec une spécialisation en AuditConseil ou en Gestion de projetEtudesRD Cette formation solide sera un atout pour réussir dans ce poste exigeant et stimulant Nous recherchons un professionnel ayant entre 1 et 5 ans dexpérience dans des fonctions similaires Votre expertise dans la gestion de projets et lamélioration continue sera cruciale pour mener à bien les missions qui vous seront confiées Les compétences requises pour ce poste incluent  Maîtrise des méthodologies de gestion de projets Connaissance des normes de qualité et dorganisation Capacité à travailler en équipe et à communiquer efficacement Orienté résultats et amélioration continue,Audit qualité,organisation,expertise dans la gestion de projets et lamélioration continue sera cruciale pour mener à bien les missions qui vous seront confiées compétences requises pour ce poste incluent  Maîtrise des méthodologies de gestion de projets Connaissance des normes de qualité et dorganisation Capacité à travailler en équipe et à communiquer efficacement Orienté résultats et amélioration continue,Français Courant,Non spécifié,0,0,-1
822,Ingénieur Qualité Produit  Nouaceur Maroc,https://www.rekrute.com/,2024-12-17,Safran Nacelles,Envolezvous avec nous  Au sein dune entreprise phare du secteur AéronautiqueSpatial située à Nouaceur une opportunité unique vous attend Vous rejoindrez une équipe passionnée et contribuerez à,1 postes sur Casablanca et région  Maroc,Nouaceur,Secteur dactivité  Aéronautique  Spatial,Non spécifié,CDI,Bac 5 et plus Minimum,De 3 à 5 ans,Profil recherché  Le profil idéal possède une formation de niveau Bac 5 et plus avec une spécialisation en Production  Qualité  Sécurité  Maintenance Une solide compréhension des normes et des réglementations du secteur aéronautique est un atout considérable Une expérience significative de 3 à 5 ans dans un poste similaire au sein du secteur aéronautique est un prérequis Une expérience en gestion de projet et une connaissance des outils qualité sont des atouts supplémentaires pour réussir dans ce poste Compétences requises  Maîtrise des normes et réglementations qualité Solides compétences en analyse et résolution de problèmes Excellentes aptitudes à la communication et au travail déquipe Capacité à travailler de manière autonome et à gérer les priorités Si vous correspondez à ce profil et êtes prêt à relever un nouveau défi envoyez votre CV au recruteur en cliquant sur le bouton  Envoyer mon CV au recruteur,Qualité qualité,résolution de problèmes communication,expérience en gestion de projet et une connaissance des outils qualité sont des atouts supplémentaires pour réussir dans ce poste Compétences requises  Maîtrise des normes et réglementations qualité compétences en analyse et résolution de problèmes communication et au travail déquipe Capacité à travailler de manière autonome et à gérer les priorités,Français Courant,Non spécifié,0,0,-1
